frame,detector,direction,error_raw,error_filtered,angle_deg,v,straight_boost,left_cmd,right_cmd,fps,x_bottom,center,line_pixels,error_direction
120,THRESH,right,3.8621,2.3412,-2.49,33.6,0.0,0.0,67.2,20.3,777.94,160.00,21846,RIGHT
121,THRESH,right,5.9770,3.7955,-1.43,33.3,0.0,0.0,66.7,18.9,1116.32,160.00,20600,RIGHT
122,THRESH,right,2.3524,3.2183,-2.92,33.7,0.0,0.0,67.4,17.6,536.39,160.00,14337,RIGHT
123,THRESH,right,2.0852,2.7650,-3.17,33.8,0.0,0.0,67.6,16.8,493.63,160.00,13169,RIGHT
124,THRESH,right,1.7557,2.3613,-3.63,33.9,0.0,13.0,54.8,17.8,440.91,160.00,12601,RIGHT
125,THRESH,right,1.8391,2.1524,-3.42,33.8,0.0,0.5,67.2,18.8,454.25,160.00,12068,RIGHT
126,THRESH,right,1.7577,1.9945,-3.59,33.9,0.0,0.0,67.8,20.0,441.24,160.00,12057,RIGHT
127,THRESH,right,1.7186,1.8842,-3.61,33.9,0.0,0.0,67.8,19.0,434.98,160.00,11378,RIGHT
128,THRESH,right,2.4351,2.1046,-2.70,33.7,0.0,0.0,67.3,18.2,549.62,160.00,11332,RIGHT
129,THRESH,right,1.0282,1.6740,-6.02,34.5,0.0,7.1,61.8,17.4,324.51,160.00,11040,RIGHT
130,THRESH,right,1.3654,1.5506,-5.19,34.3,0.0,0.0,68.5,16.7,378.47,160.00,11550,RIGHT
131,THRESH,right,1.4280,1.5015,-5.23,34.3,0.0,0.0,68.6,16.1,388.48,160.00,11116,RIGHT
132,THRESH,right,1.5492,1.5206,-5.30,34.3,0.0,0.0,68.6,15.6,407.87,160.00,10797,RIGHT
133,THRESH,right,1.7112,1.5969,-5.27,34.3,0.0,0.0,68.6,15.2,433.80,160.00,10206,RIGHT
134,THRESH,right,1.9004,1.7183,-5.20,34.3,0.0,0.0,68.5,14.8,464.07,160.00,9527,RIGHT
135,THRESH,right,2.1626,1.8960,-5.03,34.2,0.0,0.0,68.5,14.5,506.02,160.00,9691,RIGHT
136,THRESH,right,3.0927,2.3747,-3.42,33.8,0.0,0.0,67.7,14.3,654.83,160.00,9400,RIGHT
137,THRESH,right,2.4963,2.4233,-4.94,34.2,0.0,0.0,68.4,14.1,559.41,160.00,7417,RIGHT
138,THRESH,right,1.4015,2.0146,-14.67,36.6,0.0,7.8,65.4,14.2,384.24,160.00,5406,RIGHT
139,THRESH,right,0.9507,1.5890,-69.30,49.9,0.0,40.6,59.2,14.6,312.11,160.00,3285,RIGHT
140,THRESH,right,0.9688,1.3409,-76.08,51.6,0.0,31.1,72.1,15.5,315.00,160.00,2322,RIGHT
141,THRESH,right,0.9943,1.2023,-80.05,52.6,0.0,27.0,78.1,16.4,319.08,160.00,1313,RIGHT
142,THRESH,right,1.0320,1.1342,-79.07,52.3,0.0,20.0,84.7,17.8,325.12,160.00,564,RIGHT
143,THRESH,fallback_forward,0.0000,1.1342,0.00,33.0,0.0,33.0,33.0,19.5,0.00,160.00,342,N/A
144,THRESH,left,-30.5869,-11.5543,0.24,33.1,0.0,66.1,0.0,20.8,-4733.90,160.00,9143,LEFT
145,THRESH,left,-36.2015,-21.4132,0.20,33.0,0.0,66.1,0.0,19.9,-5632.25,160.00,9406,LEFT
146,THRESH,left,-33.4036,-26.2093,0.22,33.1,0.0,66.1,0.0,19.1,-5184.57,160.00,9048,LEFT
147,THRESH,left,0.9796,-15.3338,-78.01,52.1,0.0,0.0,100.0,18.5,316.74,160.00,1890,RIGHT
148,THRESH,left,0.9530,-8.8191,-69.33,49.9,0.0,0.0,99.9,19.2,312.47,160.00,3239,RIGHT
149,THRESH,left,1.5271,-4.6806,-12.00,35.9,0.0,0.0,71.9,19.5,404.33,160.00,5540,RIGHT
150,THRESH,left,1.0682,-2.3811,-34.89,41.5,0.0,0.0,83.1,19.3,330.91,160.00,4300,RIGHT
151,THRESH,left,0.9442,-1.0510,-76.92,51.8,0.0,0.0,100.0,19.4,311.07,160.00,2782,RIGHT
152,THRESH,left,1.0128,-0.2255,-82.88,53.3,0.0,0.0,100.0,19.8,322.04,160.00,560,RIGHT
153,THRESH,right,1.0128,0.2698,-82.88,53.3,0.0,0.0,100.0,21.4,322.04,160.00,560,RIGHT
154,THRESH,left,-32.7561,-12.9406,0.22,33.1,0.0,66.1,0.0,22.8,-5080.98,160.00,9322,LEFT
155,THRESH,left,-17.0971,-14.6032,0.42,33.1,0.0,66.2,0.0,21.7,-2575.53,160.00,9207,LEFT
156,THRESH,left,-16.6959,-15.4402,0.43,33.1,0.0,66.2,0.0,20.7,-2511.34,160.00,8941,LEFT
157,THRESH,left,-17.0421,-16.0810,0.42,33.1,0.0,66.2,0.0,19.9,-2566.73,160.00,9232,LEFT
158,THRESH,left,-20.7313,-17.9411,0.35,33.1,0.0,66.2,0.0,19.1,-3157.01,160.00,9187,LEFT
159,THRESH,left,-21.4235,-19.3341,0.34,33.1,0.0,66.2,0.0,18.4,-3267.76,160.00,8796,LEFT
160,THRESH,left,0.9764,-11.2099,-78.82,52.3,0.0,0.0,100.0,17.9,316.22,160.00,1873,RIGHT
161,THRESH,left,0.9491,-6.3463,-72.66,50.8,0.0,0.0,100.0,18.9,311.86,160.00,3028,RIGHT
162,THRESH,left,0.9951,-3.4097,-49.33,45.1,0.0,0.0,90.1,19.3,319.22,160.00,4061,RIGHT
163,THRESH,left,1.1486,-1.5864,-26.46,39.5,0.0,0.0,78.9,19.5,343.78,160.00,4574,RIGHT
164,THRESH,left,0.9635,-0.5664,-82.12,53.1,0.0,0.0,100.0,19.5,314.16,160.00,1850,RIGHT
165,THRESH,go,1.0155,0.0663,-82.76,55.2,2.0,0.0,100.0,20.4,322.47,160.00,516,RIGHT
166,THRESH,left,-21.9103,-8.7243,0.33,34.8,1.8,69.7,0.0,22.0,-3345.65,160.00,9048,LEFT
167,THRESH,left,-17.5085,-12.2380,0.40,34.6,1.5,69.3,0.0,21.0,-2641.35,160.00,8993,LEFT
168,THRESH,left,-20.2377,-15.4379,0.35,34.4,1.4,68.9,0.0,20.1,-3078.03,160.00,9135,LEFT
169,THRESH,left,-17.4043,-16.2244,0.41,34.3,1.2,68.6,0.0,19.3,-2624.69,160.00,9109,LEFT
170,THRESH,left,-18.8521,-17.2755,0.38,34.1,1.1,68.3,0.0,18.6,-2856.34,160.00,7138,LEFT
171,THRESH,left,0.9452,-9.9872,-69.47,50.9,0.9,0.0,100.0,18.1,311.22,160.00,3350,RIGHT
172,THRESH,left,2.4231,-5.0231,-5.21,35.1,0.8,0.0,70.2,18.6,547.70,160.00,6628,RIGHT
173,THRESH,left,5.0186,-1.0064,-1.97,34.2,0.7,0.0,68.4,18.3,962.97,160.00,8821,RIGHT
174,THRESH,right,3.6309,0.8485,-2.97,34.4,0.6,0.0,68.7,17.8,740.94,160.00,7143,RIGHT
175,THRESH,right,1.4823,1.1020,-12.96,36.7,0.6,0.0,73.5,17.5,397.17,160.00,4792,RIGHT
176,THRESH,right,0.9417,1.0379,-82.12,53.6,0.5,20.1,87.1,17.6,310.68,160.00,2358,RIGHT
177,THRESH,right,0.9799,1.0147,-84.12,54.0,0.4,16.4,91.5,18.4,316.79,160.00,1229,RIGHT
