timestamp,action,left_speed,right_speed
01:14:09,set_speed,10,65
01:14:09,set_speed,10,65
01:14:09,set_speed,11,65
01:14:09,set_speed,0,0
01:14:09,stop,0,0
01:14:09,set_speed,55,55
01:14:09,forward,55,55
01:14:09,set_speed,0,0
01:14:09,stop,0,0
01:14:10,set_speed,-65,65
01:14:10,set_speed,0,0
01:14:10,stop,0,0
01:14:10,set_speed,0,0
01:14:10,stop,0,0
01:14:10,set_speed,55,55
01:14:10,forward,55,55
01:14:10,set_speed,0,0
01:14:10,stop,0,0
01:14:10,set_speed,-65,65
01:14:10,set_speed,0,0
01:14:10,stop,0,0
01:14:10,set_speed,10,65
01:14:10,set_speed,10,65
01:14:10,set_speed,10,65
01:14:10,set_speed,10,65
01:14:10,set_speed,11,65
01:14:10,set_speed,14,65
01:14:10,set_speed,18,65
01:14:10,set_speed,21,65
01:14:10,set_speed,0,0
01:14:10,stop,0,0
01:14:10,set_speed,55,55
01:14:10,forward,55,55
01:14:11,set_speed,0,0
01:14:11,stop,0,0
01:14:11,set_speed,-65,65
01:14:11,set_speed,0,0
01:14:11,stop,0,0
01:14:11,set_speed,0,0
01:14:11,stop,0,0
01:14:11,set_speed,55,55
01:14:11,forward,55,55
01:14:11,set_speed,0,0
01:14:11,stop,0,0
01:14:11,set_speed,-65,65
01:14:11,set_speed,0,0
01:14:11,stop,0,0
01:14:11,set_speed,0,0
01:14:11,stop,0,0
01:14:11,set_speed,55,55
01:14:11,forward,55,55
01:14:11,set_speed,0,0
01:14:11,stop,0,0
01:14:11,set_speed,-65,65
01:14:11,set_speed,0,0
01:14:11,stop,0,0
01:14:11,set_speed,0,0
01:14:11,stop,0,0
01:14:11,set_speed,55,55
01:14:11,forward,55,55
01:14:12,set_speed,0,0
01:14:12,stop,0,0
01:14:12,set_speed,-65,65
01:14:12,set_speed,0,0
01:14:12,stop,0,0
01:14:12,set_speed,0,0
01:14:12,stop,0,0
01:14:12,set_speed,55,55
01:14:12,forward,55,55
01:14:12,set_speed,0,0
01:14:12,stop,0,0
01:14:12,set_speed,-65,65
01:14:12,set_speed,0,0
01:14:12,stop,0,0
01:14:12,set_speed,0,0
01:14:12,stop,0,0
01:14:12,set_speed,55,55
01:14:12,forward,55,55
01:14:12,set_speed,0,0
01:14:12,stop,0,0
01:14:12,set_speed,-65,65
01:14:12,set_speed,0,0
01:14:12,stop,0,0
01:14:12,set_speed,0,0
01:14:12,stop,0,0
01:14:12,set_speed,55,55
01:14:12,forward,55,55
01:14:12,set_speed,0,0
01:14:12,stop,0,0
01:14:12,set_speed,-65,65
01:14:12,set_speed,0,0
01:14:12,stop,0,0
01:14:13,set_speed,0,0
01:14:13,stop,0,0
01:14:13,set_speed,55,55
01:14:13,forward,55,55
01:14:13,set_speed,0,0
01:14:13,stop,0,0
01:14:13,set_speed,-65,65
01:14:13,set_speed,0,0
01:14:13,stop,0,0
01:14:13,set_speed,0,0
01:14:13,stop,0,0
01:14:13,set_speed,55,55
01:14:13,forward,55,55
01:14:13,set_speed,0,0
01:14:13,stop,0,0
01:14:13,set_speed,-65,65
01:14:13,set_speed,0,0
01:14:13,stop,0,0
01:14:13,set_speed,0,0
01:14:13,stop,0,0
01:14:13,set_speed,55,55
01:14:13,forward,55,55
01:14:13,set_speed,0,0
01:14:13,stop,0,0
01:14:13,set_speed,-65,65
01:14:13,set_speed,0,0
01:14:13,stop,0,0
01:14:13,set_speed,0,0
01:14:13,stop,0,0
01:14:14,set_speed,55,55
01:14:14,forward,55,55
01:14:14,set_speed,0,0
01:14:14,stop,0,0
01:14:14,set_speed,-65,65
01:14:14,set_speed,0,0
01:14:14,stop,0,0
01:14:14,set_speed,0,0
01:14:14,stop,0,0
01:14:14,set_speed,55,55
01:14:14,forward,55,55
01:14:14,set_speed,0,0
01:14:14,stop,0,0
01:14:14,set_speed,-65,65
01:14:14,set_speed,0,0
01:14:14,stop,0,0
01:14:14,set_speed,11,65
01:14:14,set_speed,11,65
01:14:14,set_speed,11,65
01:14:14,set_speed,11,65
01:14:14,set_speed,11,65
01:14:14,set_speed,12,65
01:14:14,set_speed,12,65
01:14:14,set_speed,13,65
01:14:14,set_speed,0,0
01:14:14,stop,0,0
01:14:14,set_speed,55,55
01:14:14,forward,55,55
01:14:15,set_speed,0,0
01:14:15,stop,0,0
01:14:15,set_speed,-65,65
01:14:15,set_speed,0,0
01:14:15,stop,0,0
01:14:15,set_speed,13,65
01:14:15,set_speed,13,65
01:14:15,set_speed,13,65
01:14:15,set_speed,13,65
01:14:15,set_speed,13,65
01:14:15,set_speed,15,65
01:14:15,set_speed,0,0
01:14:15,stop,0,0
01:14:15,set_speed,55,55
01:14:15,forward,55,55
01:14:15,set_speed,0,0
01:14:15,stop,0,0
01:14:15,set_speed,-65,65
01:14:15,set_speed,0,0
01:14:15,stop,0,0
01:14:15,set_speed,0,0
01:14:15,stop,0,0
01:14:15,set_speed,55,55
01:14:15,forward,55,55
01:14:15,set_speed,0,0
01:14:15,stop,0,0
01:14:15,set_speed,-65,65
01:14:15,set_speed,0,0
01:14:15,stop,0,0
01:14:15,set_speed,12,65
01:14:15,set_speed,12,65
01:14:16,set_speed,12,65
01:14:16,set_speed,12,65
01:14:16,set_speed,13,65
01:14:16,set_speed,0,0
01:14:16,stop,0,0
01:14:16,set_speed,55,55
01:14:16,forward,55,55
01:14:16,set_speed,0,0
01:14:16,stop,0,0
01:14:16,set_speed,-65,65
01:14:16,set_speed,0,0
01:14:16,stop,0,0
01:14:16,set_speed,13,65
01:14:16,set_speed,13,65
01:14:16,set_speed,13,65
01:14:16,set_speed,14,65
01:14:16,set_speed,15,65
01:14:16,set_speed,17,65
01:14:16,set_speed,18,65
01:14:16,set_speed,19,65
01:14:17,set_speed,0,0
01:14:17,stop,0,0
01:14:17,set_speed,55,55
01:14:17,forward,55,55
01:14:17,set_speed,0,0
01:14:17,stop,0,0
01:14:17,set_speed,-65,65
