epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,1154.17,0.55246,0.38016,0.6245,0.95144,0.99056,0.92,0.98907,0.87464,0.99056,0.92,0.98907,0.88118,0.47405,0.11927,0.48486,0.67528,0.0007427,0.0007427,0.0007427
129,1163.96,0.59161,0.33102,0.51092,0.94182,1,0.9514,0.99204,0.84362,1,0.9514,0.99204,0.87623,0.46913,0.12348,0.53041,0.66213,0.0007328,0.0007328,0.0007328
130,1172.71,0.54039,0.34863,0.63126,0.93192,0.96123,0.99207,0.99346,0.87343,0.92251,0.95266,0.95484,0.86166,0.48525,0.14769,0.487,0.67341,0.0007229,0.0007229,0.0007229
131,1182.42,0.53576,0.42598,0.51091,0.94123,0.92296,0.95842,0.98641,0.89154,0.92268,0.92,0.97136,0.87467,0.40471,0.13244,1.05913,0.65579,0.000713,0.000713,0.000713
132,1192.12,0.53087,0.34812,0.48414,0.93354,0.91905,1,0.98907,0.8914,0.97672,0.92,0.95796,0.87705,0.37559,0.12355,0.7329,0.64575,0.0007031,0.0007031,0.0007031
133,1200.45,0.56246,0.44346,0.5316,0.9229,0.95363,0.96,0.99044,0.86761,0.95363,0.96,0.99044,0.85292,0.46588,0.15038,1.42068,0.66093,0.0006932,0.0006932,0.0006932
134,1210.12,0.54915,0.39469,0.50721,0.93377,1,0.99792,0.995,0.87939,1,0.95789,0.96269,0.85997,0.46067,0.16365,0.6384,0.65525,0.0006833,0.0006833,0.0006833
135,1219.97,0.55211,0.38631,0.53054,0.93098,0.91351,1,0.98741,0.91154,0.94698,0.92,0.95442,0.84764,0.41958,0.13048,1.14753,0.6502,0.0006734,0.0006734,0.0006734
136,1228.21,0.55305,0.34336,0.54711,0.90434,0.99466,0.96,0.96971,0.86997,0.99466,0.96,0.96971,0.83741,0.42497,0.12874,0.71087,0.6639,0.0006635,0.0006635,0.0006635
137,1238.13,0.55301,0.35472,0.54083,0.94827,1,0.94469,0.98833,0.89744,1,0.94469,0.98833,0.88006,0.47795,0.13593,0.4315,0.67282,0.0006536,0.0006536,0.0006536
138,1248.16,0.57949,0.4095,0.51526,0.94699,0.91563,0.92,0.97722,0.87307,0.91563,0.92,0.97722,0.85141,0.48849,0.12322,1.19592,0.66455,0.0006437,0.0006437,0.0006437
139,1256.58,0.53447,0.3758,0.55266,0.94639,0.99447,0.96,0.98441,0.86504,0.99287,0.88,0.95039,0.85254,0.50137,0.11129,0.56784,0.68129,0.0006338,0.0006338,0.0006338
140,1266.33,0.56484,0.46287,0.5186,0.94233,0.94642,0.92,0.98397,0.84864,0.94642,0.92,0.9556,0.86101,0.47269,0.12323,0.98781,0.66585,0.0006239,0.0006239,0.0006239
141,1276.15,0.57436,0.37142,0.50205,0.937,0.92297,1,0.98089,0.87237,0.92297,1,0.98089,0.85778,0.41398,0.13485,0.67139,0.64986,0.000614,0.000614,0.000614
142,1284.99,0.52026,0.40031,0.47986,0.92914,0.92316,1,0.98741,0.86422,0.95769,0.90576,0.95402,0.83036,0.44287,0.13757,0.58673,0.66567,0.0006041,0.0006041,0.0006041
143,1294.81,0.48937,0.36706,0.48331,0.8968,0.92513,0.9888,0.98404,0.85479,0.95689,0.88815,0.94929,0.8277,0.41432,0.16988,0.41367,0.66318,0.0005942,0.0005942,0.0005942
144,1304.69,0.51924,0.34945,0.48765,0.92353,0.92036,1,0.98315,0.85128,0.9223,0.94986,0.95085,0.8384,0.45182,0.1383,0.48232,0.6664,0.0005843,0.0005843,0.0005843
145,1313.76,0.53604,0.37495,0.4825,0.93828,0.89703,0.96,0.98764,0.8799,0.94547,0.92,0.95405,0.84812,0.46452,0.1411,0.76247,0.66902,0.0005744,0.0005744,0.0005744
146,1323.03,0.52717,0.35974,0.46012,0.93978,0.96134,0.99481,0.99038,0.91238,0.95999,0.95969,0.95949,0.86668,0.43946,0.13011,0.49103,0.64915,0.0005645,0.0005645,0.0005645
147,1332.8,0.52165,0.3907,0.46676,0.90833,0.92546,0.99352,0.98741,0.88363,0.92546,0.99352,0.98741,0.85868,0.45137,0.13527,0.65128,0.65063,0.0005546,0.0005546,0.0005546
148,1341.89,0.51338,0.41459,0.43179,0.93498,0.96099,1,0.99346,0.88624,1,0.94957,0.9637,0.88352,0.4573,0.11888,0.44201,0.65649,0.0005447,0.0005447,0.0005447
149,1350.94,0.54727,0.36992,0.48365,0.91183,0.91887,1,0.98611,0.8772,0.92257,0.95342,0.95635,0.86319,0.43256,0.13223,0.72638,0.6534,0.0005348,0.0005348,0.0005348
150,1360.74,0.511,0.36984,0.48303,0.91066,0.91362,1,0.98611,0.88319,0.99517,0.88,0.95794,0.84243,0.43536,0.12371,0.42679,0.65912,0.0005249,0.0005249,0.0005249
151,1369.84,0.47349,0.33469,0.47587,0.89732,0.9171,1,0.98437,0.87281,0.9171,1,0.98437,0.90317,0.39751,0.12105,0.72161,0.64906,0.000515,0.000515,0.000515
152,1379.02,0.54038,0.37936,0.48618,0.93286,0.95485,0.96,0.98911,0.88084,0.95485,0.96,0.98911,0.88538,0.40992,0.12656,0.44549,0.63991,0.0005051,0.0005051,0.0005051
153,1388.81,0.52903,0.36173,0.58595,0.93519,0.9928,1,0.995,0.89989,0.98983,0.96,0.965,0.8638,0.41533,0.11606,0.39505,0.64914,0.0004952,0.0004952,0.0004952
154,1397.96,0.48075,0.33893,0.49028,0.90647,0.92562,0.9957,0.98611,0.8754,0.923,0.95905,0.95616,0.8582,0.45894,0.11726,0.6382,0.67921,0.0004853,0.0004853,0.0004853
155,1406.89,0.5092,0.36033,0.47741,0.93856,0.88047,0.96,0.97895,0.85155,0.9193,0.91158,0.94873,0.8297,0.46428,0.12993,0.64989,0.68874,0.0004754,0.0004754,0.0004754
156,1416.77,0.47834,0.4204,0.54467,0.92219,0.94414,0.92,0.97033,0.82899,1,0.82751,0.9391,0.81376,0.52486,0.1333,0.52503,0.71873,0.0004655,0.0004655,0.0004655
157,1426.01,0.4509,0.33531,0.55694,0.90351,0.92589,0.99947,0.98407,0.87514,0.92589,0.99947,0.98407,0.86374,0.49895,0.13416,0.63363,0.69419,0.0004556,0.0004556,0.0004556
158,1434.97,0.49652,0.41787,0.45148,0.92352,0.92281,0.95653,0.98108,0.88441,0.92281,0.95653,0.98108,0.85988,0.4826,0.13638,0.69995,0.68712,0.0004457,0.0004457,0.0004457
159,1444.95,0.48191,0.40228,0.4436,0.91378,1,0.99073,0.995,0.88402,1,0.99073,0.995,0.86496,0.46535,0.13719,0.40637,0.68358,0.0004358,0.0004358,0.0004358
160,1454.46,0.50098,0.36863,0.47634,0.9393,0.96116,0.99026,0.99192,0.88156,0.95982,0.95578,0.97126,0.85934,0.44984,0.11989,0.44029,0.67775,0.0004259,0.0004259,0.0004259
161,1463.22,0.48168,0.40589,0.466,0.91467,0.95968,0.95231,0.99038,0.88999,0.956,0.92,0.96541,0.86029,0.42824,0.11766,0.4712,0.67078,0.000416,0.000416,0.000416
162,1473.02,0.48148,0.34205,0.4231,0.89122,0.95831,0.91954,0.97504,0.87741,0.95831,0.91954,0.95349,0.84833,0.42808,0.12526,0.63469,0.67244,0.0004061,0.0004061,0.0004061
163,1482.64,0.51454,0.34458,0.45392,0.92488,0.90275,1,0.98741,0.88689,0.9221,0.94725,0.9675,0.84013,0.4812,0.11957,0.46699,0.68407,0.0003962,0.0003962,0.0003962
164,1491.25,0.49425,0.29164,0.49218,0.91124,0.91052,1,0.98574,0.88503,0.92223,0.94903,0.9724,0.88635,0.46,0.119,0.42715,0.6706,0.0003863,0.0003863,0.0003863
165,1501.2,0.50509,0.49284,0.47159,0.89686,0.92375,1,0.98574,0.88762,0.92295,0.95829,0.95441,0.8741,0.43212,0.13013,0.44146,0.66557,0.0003764,0.0003764,0.0003764
166,1510.94,0.48169,0.32231,0.43594,0.90582,0.90673,1,0.98907,0.89136,1,0.90891,0.95733,0.85331,0.41613,0.13608,0.43587,0.666,0.0003665,0.0003665,0.0003665
167,1519.37,0.47102,0.32461,0.52174,0.89614,0.98913,0.92,0.98907,0.89781,0.98913,0.92,0.95532,0.85984,0.42549,0.1296,0.42354,0.66034,0.0003566,0.0003566,0.0003566
168,1529.21,0.48864,0.38359,0.54049,0.9022,0.92235,0.9505,0.9635,0.86178,0.88355,0.91078,0.92237,0.80818,0.43863,0.12331,0.49993,0.66964,0.0003467,0.0003467,0.0003467
169,1539.07,0.45842,0.34724,0.57137,0.89026,0.9552,1,0.98885,0.9014,0.91647,0.96,0.97275,0.85194,0.41606,0.12254,0.38663,0.65778,0.0003368,0.0003368,0.0003368
170,1547.63,0.51942,0.41568,0.45656,0.93481,0.8747,1,0.98476,0.88878,0.8747,1,0.98476,0.8946,0.41382,0.12368,0.55972,0.65388,0.0003269,0.0003269,0.0003269
171,1557.59,0.54546,0.4083,0.45021,0.92541,0.95691,1,0.99192,0.88646,0.95981,0.95538,0.95809,0.86647,0.43552,0.13583,0.44199,0.66025,0.000317,0.000317,0.000317
172,1567.43,0.50006,0.36931,0.49099,0.92219,0.9862,1,0.995,0.88595,1,0.91358,0.95772,0.86008,0.42902,0.13298,0.40481,0.65511,0.0003071,0.0003071,0.0003071
173,1575.86,0.43156,0.32234,0.49405,0.88644,0.98842,1,0.995,0.89054,0.94888,0.96,0.95824,0.86064,0.41886,0.12465,0.42698,0.64734,0.0002972,0.0002972,0.0002972
